# Pet export art
#
# 2D model preview PNGs (contact sheets):
#   assets/exports/pets/basic/{pet}_basic.png
#   assets/exports/pets/gold/{pet}_gold.png
#   python3 scripts/build_pet_contact_sheet.py
#
# 3D meshes (2026-06-14 batch):
#   Recommended Roblox import: {stem}_5k.fbx + texture PNG in same folder.
#   Pipeline: bash scripts/decimate_mesh.sh assets/source/pets/<stem>.obj --targets 5000,7500,10000 --output assets/exports/pets/<stem>/
#
# 2026-06-14 lava batch contact sheet:
#   assets/exports/pets/lava_pets_2026-06-14_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-14_lava_pets.txt
#
# 2026-06-14 desert batch contact sheet:
#   assets/exports/pets/desert_pets_2026-06-14_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-14_desert_pets.txt
#
# 2026-06-14 ice batch contact sheet:
#   assets/exports/pets/ice_pets_2026-06-14_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-14_ice_pets.txt
#
# 2026-06-15 premium pets batch (basic + gold):
#   assets/exports/pets/premium_pets_2026-06-15_basic_contact_sheet.png
#   assets/exports/pets/premium_pets_2026-06-15_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-15_premium_pets.txt
#
# 2026-06-16 nature pets batch (basic + gold):
#   assets/exports/pets/nature_pets_2026-06-16_basic_contact_sheet.png
#   assets/exports/pets/nature_pets_2026-06-16_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-16_nature_pets.txt
#
# 2026-06-16 sun pets batch (basic + gold):
#   assets/exports/pets/sun_pets_2026-06-16_basic_contact_sheet.png
#   assets/exports/pets/sun_pets_2026-06-16_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-16_sun_pets.txt
#
# 2026-06-16 blight pets batch (basic + gold):
#   assets/exports/pets/blight_pets_2026-06-16_basic_contact_sheet.png
#   assets/exports/pets/blight_pets_2026-06-16_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-16_blight_pets.txt

#
# 2026-06-23 realm pets batch (basic + gold, 10k budget) — COMPLETE 40 species / 80 meshes:
#   assets/exports/pets/realm_pets_2026-06-23_basic_contact_sheet.png
#   assets/exports/pets/realm_pets_2026-06-23_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-23_realm_pets.txt
#   Upload: {stem}_10k.fbx + {stem}.png (native kept when source <= 10k; worldbloom_ent decimated)
#
pet	variant	source_tris	export_dir	5k	7500tris	10k	texture
  glacial_seraph: ~/Downloads/Glacial Seraph.zip + Glacial Seraph.png / Glacial Seraph Gold.zip + Glacial Seraph Gold.png
  seraph_owl: ~/Downloads/Seraph Owl.zip + Seraph Owl.png / Seraph Owl Gold.zip + Seraph Owl Gold.png
  aurora_fox: ~/Downloads/Aurora Fox.zip + Aurora Fox.png / Aurora Fox Gold.zip + Aurora Fox Gold.png
  frostlight_hare: ~/Downloads/Frostlight Hare.zip + Frostlight Hare.png / Frostlight Hare Gold.zip + Frostlight Hare Gold.png
  sunmane_lion: ~/Downloads/Sunmane Lion.zip + Sunmane Lion.png / Sunmane Lion Gold.zip + Sunmane Lion Gold.png
  solar_phoenix: ~/Downloads/Solar Phoenix.zip + Solar Phoenix.png / Solar Phoenix Gold.zip + Solar Phoenix Gold.png
  radiant_salamander: ~/Downloads/Radiant Salamander.zip + Radiant Salamander.png / Radiant Salamander Gold.zip + Radiant Salamander Gold.png
  emberling_cherub: ~/Downloads/Emberling Cherub.zip + Emberling Cherub.png / Emberling Cherub Gold.zip + Emberling Cherub Gold.png
  bloomlamb: ~/Downloads/Bloomlamb.zip + Bloomlamb.png / Bloomlamb Gold.zip + Bloomlamb Gold.png
  worldroot_ent: ~/Downloads/Worldroot Ent.zip + Worldroot Ent.png / Worldroot Ent Gold.zip + Worldroot Ent Gold.png
  verdant_sprite: ~/Downloads/Verdant Sprite.zip + Verdant Sprite.png / Verdant Sprite Gold.zip + Verdant Sprite Gold.png
  goldleaf_stag: ~/Downloads/Goldleaf Stag.zip + Goldleaf Stag.png / Goldleaf Stag Gold.zip + Goldleaf Stag Gold.png
  halo_hare: ~/Downloads/Halo Hare.zip + Halo Hare.png / Halo Hare Gold.zip + Halo Hare Gold.png
  solar_roc: ~/Downloads/Solar Roc.zip + Solar Roc.png / Solar Roc Gold.zip + Solar Roc Gold.png
  dawn_camel: ~/Downloads/Dawn Camel.zip + Dawn Camel.png / Dawn Camel Gold.zip + Dawn Camel Gold.png
  gilded_sphinx: ~/Downloads/Gilded Sphinx.zip + Gilded Sphinx.png / Gilded Sphinx Gold.zip + Gilded Sphinx Gold.png
  mirage_jackal: ~/Downloads/Mirage Jackal.zip + Mirage Jackal.png / Mirage Jackal Gold.zip + Mirage Jackal Gold.png
  sun_scarab: ~/Downloads/Sun Scarab.zip + Sun Scarab.png / Sun Scarab Gold.zip + Sun Scarab Gold.png
  wither_sprite: ~/Downloads/Wither Sprite.zip + Wither Sprite.png / Wither Sprite Gold.zip + Wither Sprite Gold.png
  ash_roc: ~/Downloads/Ash Roc.zip + Ash Roc.png / Ash Roc Gold.zip + Ash Roc Gold.png
  dust_camel: ~/Downloads/Dust Camel.zip + Dust Camel.png / Dust Camel Gold.zip + Dust Camel Gold.png
  glass_sphinx: ~/Downloads/Glass Sphinx.zip + Glass Sphinx.png / Glass Sphinx Gold.zip + Glass Sphinx Gold.png
  phantom_jackal: ~/Downloads/Phantom Jackal.zip + Phantom Jackal.png / Phantom Jackal Gold.zip + Phantom Jackal Gold.png
  carrion_scarab: ~/Downloads/Carrion Scarab.zip + Carrion Scarab.png / Carrion Scarab Gold.zip + Carrion Scarab Gold.png
  gravewood_ent: ~/Downloads/Gravewood Ent.zip + Gravewood Ent.png / Gravewood Ent Gold.zip + Gravewood Ent Gold.png
  rotleaf_stag: ~/Downloads/Rotleaf Stag.zip + Rotleaf Stag.png / Rotleaf Stag Gold.zip + Rotleaf Stag Gold.png
  dread_hare: ~/Downloads/Dread Hare.zip + Dread Hare.png / Dread Hare Gold.zip + Dread Hare Gold.png
  blightlamb: ~/Downloads/Blightlamb.zip + Blightlamb.png / Blightlamb Gold.zip + Blightlamb Gold.png
  abyssal_wyrm: ~/Downloads/Abyssal Wyrm.zip + Abyssal Wyrm.png / Abyssal Wyrm Gold.zip + Abyssal Wyrm Gold.png
  brimstone_salamander: ~/Downloads/Brimstone Salamander.zip + Brimstone Salamander.png / Brimstone Salamander Gold.zip + Brimstone Salamander Gold.png
  ashfeather_phoenix: ~/Downloads/Ashfeather Phoenix.zip + Ashfeather Phoenix.png / Ashfeather Phoenix Gold.zip + Ashfeather Phoenix Gold.png
  ashmane_lion: ~/Downloads/Ashmane Lion.zip + Ashmane Lion.png / Ashmane Lion Gold.zip + Ashmane Lion Gold.png
  rimelight_hare: ~/Downloads/Rimelight Hare.zip + Rimelight Hare.png / Rimelight Hare Gold.zip + Rimelight Hare Gold.png
  black_ice_leviathan: ~/Downloads/Black-Ice Leviathan.zip + Black-Ice Leviathan.png / Black-Ice Leviathan Gold.zip + Black-Ice Leviathan Gold.png
  black_seraph: ~/Downloads/Black Seraph.zip + Black Seraph.png / Black Seraph Gold.zip + Black Seraph Gold.png
  dread_owl: ~/Downloads/Dread Owl.zip + Dread Owl.png / Dread Owl Gold.zip + Dread Owl Gold.png
  rimewraith_fox: ~/Downloads/Rimewraith Fox.zip + Rimewraith Fox.png / Rimewraith Fox Gold.zip + Rimewraith Fox Gold.png
  cinderling_imp: ~/Downloads/Cinderling Imp.zip + Cinderling Imp.png / Cinderling Imp Gold.zip + Cinderling Imp Gold.png
  coronal_cherub: ~/Downloads/Coronal Cherub.zip + Coronal Cherub.png / Coronal Cherub Gold.zip + Coronal Cherub Gold.png
  dawnfire_phoenix: ~/Downloads/Dawnfire Phoenix.zip + Dawnfire Phoenix.png / Dawnfire Phoenix Gold.zip + Dawnfire Phoenix Gold.png
  aurora_dragon: ~/Downloads/Aurora Dragon.zip + Aurora Dragon.png / Aurora Dragon Gold.zip + Aurora Dragon Gold.png
  glacial_bear: ~/Downloads/Glacial Bear.zip + Glacial Bear.png / Glacial Bear Gold.zip + Glacial Bear Gold.png
  starlight_owl: ~/Downloads/Starlight Owl.zip + Starlight Owl.png / Starlight Owl Gold.zip + Starlight Owl Gold.png
  prism_fox: ~/Downloads/Prism Fox.zip + Prism Fox.png / Prism Fox Gold.zip + Prism Fox Gold.png
  frostlight_doe: ~/Downloads/Frostlight Doe.zip + Frostlight Doe.png / Frostlight Doe Gold.zip + Frostlight Doe Gold.png
  lance_seraph: ~/Downloads/Lance Seraph.zip + Lance Seraph.png / Lance Seraph Gold.zip + Lance Seraph Gold.png
  lumen_salamander: ~/Downloads/Lumen Salamander.zip + Lumen Salamander.png / Lumen Salamander Gold.zip + Lumen Salamander Gold.png
  prism_lion: ~/Downloads/Prism Lion.zip + Prism Lion.png / Prism Lion Gold.zip + Prism Lion Gold.png
  bloomspirit_lamb: ~/Downloads/Bloomspirit Lamb.zip + Bloomspirit Lamb.png / Bloomspirit Lamb Gold.zip + Bloomspirit Lamb Gold.png
  lightleaf_hare: ~/Downloads/Lightleaf Hare.zip + Lightleaf Hare.png / Lightleaf Hare Gold.zip + Lightleaf Hare Gold.png
  crystalbark_stag: ~/Downloads/Crystalbark Stag.zip + Crystalbark Stag.png / Crystalbark Stag Gold.zip + Crystalbark Stag Gold.png
  radiant_sprite: ~/Downloads/Radiant Sprite.zip + Radiant Sprite.png / Radiant Sprite Gold.zip + Radiant Sprite Gold.png
  worldbloom_ent: ~/Downloads/Worldbloom Ent.zip + Worldbloom Ent.png / Worldbloom Ent Gold.zip + Worldbloom Ent Gold.png
  aurora_dove: ~/Downloads/Aurora Dove.zip + Aurora Dove.png / Aurora Dove Gold.zip + Aurora Dove Gold.png
  prism_scarab: ~/Downloads/Prism Scarab.zip + Prism Scarab.png / Prism Scarab Gold.zip + Prism Scarab Gold.png
  mirage_meerkat: ~/Downloads/Mirage Meerkat.zip + Mirage Meerkat.png / Mirage Meerkat Gold.zip + Mirage Meerkat Gold.png
  sunwell_camel: ~/Downloads/Sunwell Camel.zip + Sunwell Camel.png / Sunwell Camel Gold.zip + Sunwell Camel Gold.png
  empyreal_couatl: ~/Downloads/Empyreal Couatl.zip + Empyreal Couatl.png / Empyreal Couatl Gold.zip + Empyreal Couatl Gold.png
  frostcinder_imp: ~/Downloads/Frostcinder Imp.zip + Frostcinder Imp.png / Frostcinder Imp Gold.zip + Frostcinder Imp Gold.png
  rimemane_lion: ~/Downloads/Rimemane Lion.zip + Rimemane Lion.png / Rimemane Lion Gold.zip + Rimemane Lion Gold.png
  hoarfrost_phoenix: ~/Downloads/Hoarfrost Phoenix.zip + Hoarfrost Phoenix.png / Hoarfrost Phoenix Gold.zip + Hoarfrost Phoenix Gold.png
  frostbrand_salamander: ~/Downloads/Frostbrand Salamander.zip + Frostbrand Salamander.png / Frostbrand Salamander Gold.zip + Frostbrand Salamander Gold.png
  deadfire_phoenix: ~/Downloads/Deadfire Phoenix.zip + Deadfire Phoenix.png / Deadfire Phoenix Gold.zip + Deadfire Phoenix Gold.png
  frostblight_lamb: ~/Downloads/Frostblight Lamb.zip + Frostblight Lamb.png / Frostblight Lamb Gold.zip + Frostblight Lamb Gold.png
  gloom_hare: ~/Downloads/Gloom Hare.zip + Gloom Hare.png / Gloom Hare Gold.zip + Gloom Hare Gold.png
  icerot_stag: ~/Downloads/Icerot Stag.zip + Icerot Stag.png / Icerot Stag Gold.zip + Icerot Stag Gold.png
  rimewither_sprite: ~/Downloads/Rimewither Sprite.zip + Rimewither Sprite.png / Rimewither Sprite Gold.zip + Rimewither Sprite Gold.png
  wraith_dove: ~/Downloads/Wraith Dove.zip + Wraith Dove.png / Wraith Dove Gold.zip + Wraith Dove Gold.png
  rime_scarab: ~/Downloads/Rime Scarab.zip + Rime Scarab.png / Rime Scarab Gold.zip + Rime Scarab Gold.png
  gloom_jackal: ~/Downloads/Gloom Jackal.zip + Gloom Jackal.png / Gloom Jackal Gold.zip + Gloom Jackal Gold.png
  frostdust_camel: ~/Downloads/Frostdust Camel.zip + Frostdust Camel.png / Frostdust Camel Gold.zip + Frostdust Camel Gold.png
  dread_couatl: ~/Downloads/Dread Couatl.zip + Dread Couatl.png / Dread Couatl Gold.zip + Dread Couatl Gold.png
rimegloom_hare	basic	5645	assets/exports/pets/rimegloom_hare_basic/	-	-	5645 tris*	rimegloom_hare_basic.png
rimegloom_hare	gold	5645	assets/exports/pets/rimegloom_hare_gold/	-	-	5645 tris*	rimegloom_hare_gold.png
dread_fox	basic	6880	assets/exports/pets/dread_fox_basic/	-	-	6880 tris*	dread_fox_basic.png
dread_fox	gold	6880	assets/exports/pets/dread_fox_gold/	-	-	6880 tris*	dread_fox_gold.png
gravefrost_owl	basic	6607	assets/exports/pets/gravefrost_owl_basic/	-	-	6607 tris*	gravefrost_owl_basic.png
gravefrost_owl	gold	6607	assets/exports/pets/gravefrost_owl_gold/	-	-	6607 tris*	gravefrost_owl_gold.png
rimeguard_bear	basic	6742	assets/exports/pets/rimeguard_bear_basic/	-	-	6742 tris*	rimeguard_bear_basic.png
rimeguard_bear	gold	6742	assets/exports/pets/rimeguard_bear_gold/	-	-	6742 tris*	rimeguard_bear_gold.png
rimewraith_dragon	basic	7337	assets/exports/pets/rimewraith_dragon_basic/	-	-	7337 tris*	rimewraith_dragon_basic.png
rimewraith_dragon	gold	7337	assets/exports/pets/rimewraith_dragon_gold/	-	-	7337 tris*	rimewraith_dragon_gold.png
frostgrave_ent	basic	7639	assets/exports/pets/frostgrave_ent_basic/	-	-	7639 tris*	frostgrave_ent_basic.png
frostgrave_ent	gold	7639	assets/exports/pets/frostgrave_ent_gold/	-	-	7639 tris*	frostgrave_ent_gold.png
